Place of interest,Type of place,Station location,BiciMAD station,Station location
Auditorio Carmen Laforet (Ciudad Lineal),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Paseo de la Castellana nº 298,249 - Manuel Caldeiro,Paseo de la Castellana nº 298
Auditorio al aire libre. Parque del Calero,Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Jose del Hierro nº 5,229 - C.D. Concepción,Calle Jose del Hierro nº 5
Auditorio y sala de exposiciones Paco de Lucía (Latina),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Caramuel nº 51,224 - Caramuel,Calle Caramuel nº 51
Centro Comunitario Casino de la Reina,Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Glorieta de Embajadores nº 2,48 - Embajadores 2,Glorieta de Embajadores nº 2
Centro Cultural - Centro Socio Cultural Villa de Barajas,Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Gutierre de Cetina nº 77,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Centro Cultural Alfredo Kraus (Fuencarral - El Pardo),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Francos Rodríguez nº 62,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62
Centro Cultural Antonio Machado (San Blas - Canillejas),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Gutierre de Cetina nº 77,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Centro Cultural Auditorio Parque El Paraíso (San Blas - Canillejas),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Gutierre de Cetina nº 77,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Centro Cultural Buenavista (Salamanca),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Avenida de los Toreros nº 3,192 - Avenida de los Toreros,Avenida de los Toreros nº 3
Centro Cultural Buero Vallejo (San Blas - Canillejas),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Gutierre de Cetina nº 77,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Centro Cultural Carril del Conde (Hortaleza),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Condesa de Venadito nº 2,214 - Condesa de Venadito,Calle Condesa de Venadito nº 2
Centro Cultural Casa de Vacas (Retiro),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Alcalá nº 95,102 - Velázquez,Calle Alcalá nº 95
Centro Cultural Casa del Reloj (Arganzuela),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Jaime el Conquistador nº 30,175 - Jaime el Conquistador,Calle Jaime el Conquistador nº 30
Centro Cultural Ciudad Pegaso (San Blas - Canillejas),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Gutierre de Cetina nº 77,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Centro Cultural Dotacional Integrado Arganzuela,Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Palos de la Frontera nº 27,120 - Palos de la Frontera,Calle Palos de la Frontera nº 27
Centro Cultural Eduardo Úrculo (Tetuán),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Azucenas nº 1,207 - Remonta,Calle Azucenas nº 1
Centro Cultural El Pozo del tío Raimundo (Puente de Vallecas),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Arroyo del Olivar nº 6,227 - Concordia,Calle Arroyo del Olivar nº 6
Centro Cultural Federico Chueca (Hortaleza),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Carlota O'Neill nº 32,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
Centro Cultural Fernando Lázaro Carreter (Carabanchel),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Glorieta Marqués de Vadillo nº 9,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Centro Cultural Fernando de los Ríos (Latina),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Caramuel nº 51,224 - Caramuel,Calle Caramuel nº 51
Centro Cultural Francisco Fatou (Villa de Vallecas),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Hacienda de Pavones nº 342,221 - Pavones,Calle Hacienda de Pavones nº 342
Centro Cultural Galileo (Chamberí),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Fernando el Católico nº 19,127 - Fernando el Católico,Calle Fernando el Católico nº 19
